quicksort recur, array[100], k = 1
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
k = 1, is 0,
k = 1,0,
total time: ,,
9528700,,
quicksort r, array[100], k = n/4
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
k = 25, is 18,
k = n/4,18,
total time: ,,
10422000,,
quicksort r, array[100], k = n/2
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
total time: ,,
5347000,,
quicksort r, array[100], k = 3n/4
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
